author,text,likes,clean_text
@drawartpony6880,I use this code on all the ones ide for Windows and none of them work I even tried an online C++ ide that still says there's an error (error: 'include' does not name a type) I don't know what to do,1,use code ones ide windows none work even tried online c ide still says theres error error include name type dont know
@africandaddy-o5i,43:48,0,
@AbdulRehman-j8g2e,Bhi asan hindi bolo hum pakistan sa han 🥹,0,bhi asan hindi bolo hum pakistan sa han faceholdingbacktears
@mkuro2537,"Me taking up comp eng for college, still haven't studied yet and 3 weeks left till classes start: Am I cooked or will I cook with this one? Prob not..",0,taking comp eng college still havent studied yet weeks left till classes start cooked cook one prob
@saritapokharel1958,How can i create a 3d game using strandered libary,0,create game using strandered libary
@StrikeGD,"Alright guys today I’m starting my C++ journey. I’ll edit along the way.

Reply or Like to remind me to edit on my progress

Edit #1: learned about strings, operators, namespaces, and functions. thanks for the reminders yall, update 2 coming after i learn some more stuff.",8,alright guys today im starting c journey ill edit along way reply like remind edit progress edit learned strings operators namespaces functions thanks reminders yall update coming learn stuff
@proud_fiver,The mistake you made at 35:00 is the same I made while trying this and it took me 10 minutes to figure it out lol,0,mistake made made trying took minutes figure lol
@SenkuTheGreat,"it feels like art and craft show i used to watch when i was kid, dubbing and video editing is also good, thanks for your all efforts 🙂",0,feels like art craft show used watch kid dubbing video editing also good thanks efforts slightlysmilingface
@ayashione7743,New beginning.,0,new beginning
@bhavishya-s9x,Why tf is it dubbed how do i watch it in english,0,tf dubbed watch english
@josrimakiin9165,❤🎉,0,redheart partypopper
@JimmyZ-b4t,Is clion free like pycharm?,0,clion free like pycharm
@jeffsad8391,Yoy meant 1 hour the basics,0,yoy meant hour basics
@John-m8e3l,thank you for your hard work mister I'm in grade ten classes right now and I've been wanting to try coding since because me and my friends have a group project that needs coding for it to work properly. so once again thank you,0,thank hard work mister im grade ten classes right ive wanting try coding since friends group project needs coding work properly thank
@Elixyr1,Unc im hella lost,1,unc im hella lost
@MyUserIsCool123,Learning this to make a horror game about a myth me and my friends made wish me luck,0,learning make horror game myth friends made wish luck
@DebarghyaDas-u9t,Does this cover all the things required to start dsa for college?,0,cover things required start dsa college
@brberis,Now in 2025 we are one prompt away.,0,one prompt away
@DevyT_123,Are you Iranian?,1,iranian
